speaker_org,statement,right
The Chair,"The debate on Government amendment 204 to schedule 7 has already commenced. Schedule 7  Transitional and saving provision relating to Part 5  Amendment proposed (this day): 204, in schedule 7, page 148, line 28, at end insert-  ""10A (1) Where-  (a) a slavery and trafficking prevention order requires a person to notify the Gangmasters and Labour Abuse Authority in accordance with section 19 of the Modern Slavery Act 2015 ('the 2015 Act'), and  (b) immediately before the day on which paragraph 53 of Schedule 6 comes into force, that requirement has not been complied with,  that requirement has effect, on and after that day, as a requirement to notify the Secretary of State. (2) On and after the coming into force of paragraph 54 of Schedule 6, the reference in section 20(2)(g) of the 2015 Act (as amended by that paragraph) to a slavery and trafficking prevention order made on an application under section 15 of that Act by the Secretary of State includes a reference to such an order made on an application under that section by the Gangmasters and Labour Abuse Authority.",STRIKE
Sir Ashley Fox (Bridgwater) (Con),"Government amendment 204 is crucial to ensuring that functions currently performed by the Gangmasters and Labour Abuse Authority under the Modern Slavery Act 2015 continue seamlessly after the powers are transferred to the Secretary of State. As part of the broader restructuring outlined in the Bill, those functions will be absorbed into the newly established fair work agency, which will take on the role of overseeing labour rights and enforcement activities. It is essential that the transfer of these powers does not lead to any gaps in the enforcement of laws relating to modern slavery, human trafficking and labour exploitation.",GENERAL
Sir Ashley Fox (Bridgwater) (Con),"The GLAA has played a pivotal role in investigating and combating labour abuse, particularly in high-risk sectors such as agriculture, horticulture and construction. By ensuring the smooth continuation of these functions under the fair work agency, we are reinforcing our commitment to protecting vulnerable workers and ensuring that modern slavery offences are actively pursued. Moreover, the amendment will guarantee that the dedicated focus on tackling labour exploitation is preserved even as responsibilities shift.",STATUS
Sir Ashley Fox (Bridgwater) (Con),"The fair work agency will now serve as the central body for enforcing these laws, and it is critical that its operations are fully equipped to carry forward the work done by the Gangmasters and Labour Abuse Authority, particularly in investigating and preventing cases of modern slavery. I would like to take this opportunity to ask the Minister for a more detailed assessment of how the creation of the fair work agency will enhance our ability to identify and prevent modern slavery offences. Given the increasing complexity of labour exploitation and the fact that modern slavery offences often take place in hidden, clandestine environments, the need for a robust, dedicated enforcement body is more pressing than ever.",EQUAL
The Parliamentary Under-Secretary of State for Business and Trade (Justin Madders),"Member for Mid Buckinghamshire asked how this measure will make things more effective. I refer him to the evidence given by a number of stakeholders, including the Director of Labour Market Enforcement, Margaret Beels, who explained that the current fragmented system makes it difficult to ensure that intelligence is shared correctly.",GENERAL
The Parliamentary Under-Secretary of State for Business and Trade (Justin Madders),"A lot of the people engaged in labour market abuses are operating under the radar, and therefore anything we can do to ensure that intelligence is shared and resources are combined has to be a good thing, so that these abuses are stamped out.",GENERAL
Justin Madders,"It therefore underpins the enforcement purposes of the Bill. Clause 112 defines the key terms used throughout part 5 of the Bill relating to the governance of the fair work agency, including the concepts of the advisory board, the enforcement function and the role of an enforcement officer under clauses 75, 73 and 72, respectively. Other key terms defined by the clause include labour market enforcement undertakings and orders, ""non-compliance with relevant labour market legislation"" and ""labour market offence"".",GENERAL
Justin Madders,"It does not introduce any additional policy, but it is a necessary and normal part of the Bill to ensure that it is functional.",STRIKE
Justin Madders,"New clause 7 and amendment 110 have been tabled to fix an apparent drafting error in the Trade Union and Labour Relations (Consolidation) Act 1992. The Committee has already debated a Government amendment to section 285(1B) of that Act, which will close a loophole in the requirement to notify the UK Government of collective redundancies for foreign-flagged ships. New clause 7 and amendment 110 concern subsections (1) and (1A) of the same section.",STRIKE
Justin Madders,"Section 285(1) currently disapplies the collective redundancy notification requirements and certain other requirements for employees who are ""working""-as opposed to ""ordinarily working""-outside Great Britain, and section 285(1A) disapplies the requirements of sections 145A to 151 of the 1992 Act,  ""where under his contract personally to do work or perform services a worker who is not an employee works outside Great Britain."" This, unfortunately, could have the effect of excluding employees who spend any of their working time outside the UK from the requirements of the legislation.",STRIKE
Justin Madders,I hope that Members can see that this is an important and necessary change.,GENERAL
Justin Madders,"I am not aware of whether there is any specific reason, other than that, although this measure is quite important in its scope, it will not actually have too much of a practical day-to-day effect.",STRIKE
Justin Madders,"New Clause 8  Power to enter dwelling subject to warrant  ""(1) An enforcement officer may not by virtue of section 79 enter any dwelling unless a justice has issued a warrant authorising the officer to enter the dwelling. (2) A justice may issue a warrant under this section only if, on an application by the officer, the justice is satisfied-  (a) that the officer has reasonable grounds to believe that-  (i) there are documents in the dwelling which for any enforcement purpose the officer wishes to inspect, examine or seize, or  (ii) there is computer or other equipment in the dwelling to which the officer wishes to have access for any enforcement purpose, and  (b) that any of the conditions in subsection (3) is satisfied. (3) The conditions are-  (a) that it is not practicable to communicate with any person entitled to grant entry to the dwelling;  (b) that it is not practicable to communicate with any person entitled to grant access to the documents or equipment;  (c) that entry to the dwelling is unlikely to be granted unless a warrant is produced;  (d) that the purpose of entry may be frustrated or seriously prejudiced unless an enforcement officer arriving at the dwelling can secure immediate entry to it.",EQUAL
Justin Madders,"This group concerns the mandatory seafarers' charter and amendments to international maritime convention measures. New schedule 3, and consequential amendments new clause 48 and Government amendments 206 to 208, deliver on our commitment to introduce a legally binding seafarers' charter. The actions of P&amp;O Ferries in 2022, when it sacked almost 800 seafarers in order to replace them with agency workers on much worse terms and conditions, highlighted the lack of protections for those working on the frequent international services that keep our country moving.",STRIKE
Justin Madders,"We are expanding the scope of the Seafarers Wages Act 2023, which will become the Seafarers (Wages and Working Conditions) Act 2023. The Act currently makes payment of the national minimum wage equivalent for work in UK waters a condition of port access for international services that call at a UK port at least 120 times a year. It does that by requiring harbour authorities to request declarations from operators to confirm that they are paying the national minimum wage equivalent, or they will impose surcharges each time a vessel enters the port.",WAGES
Justin Madders,Non-payment of surcharges will result in access to the port being refused.,GENERAL
Justin Madders,"The new schedule introduces provisions that, once the necessary regulations have been made, will require harbour authorities to also request safe working declarations and remuneration declarations from operators in scope. Operators will be required to confirm that they are meeting the requirements of those declarations, which will be set out in regulations. We will consult on the requirements and the services they will apply to in due course.",SECURITY
Justin Madders,"Safe working regulations can specify conditions relating to working patterns and rest requirements, including maximum periods of work and minimum periods of rest. They can also require operators to produce fatigue management plans, and make provision relating to safety training of seafarers. Remuneration regulations may specify requirements relating to the remuneration of seafarers, whether in UK waters or outside them.",STRIKE
Justin Madders,"Operators that provide false or misleading declarations, or act inconsistently with declarations, will be guilty of an offence under the Seafarers Wages Act. The Maritime and Coastguard Agency will be responsible for enforcing those offences, as it is for the existing provisions of the Act. The new schedule represents a proportionate and necessary approach to ensuring that the seafarers who serve our country are not subject to dangerous or unfair working conditions.",STRIKE
Justin Madders,"It will level the playing field by setting an appropriate minimum standard for seafarers, which will ensure that good employers are not undercut by those willing to exploit their workers.",STRIKE
Justin Madders,"The new clause will fix a powers gap that was left following Brexit. It will give us the powers to make regulations under the negative procedure giving effect to the maritime labour convention and the work in fishing convention, and to make regulations giving effect to any other international agreements ratified in the UK relating to maritime employment. The first time that regulations are made in relation to a particular agreement, they will be subject to the affirmative procedure, and subsequent regulations relating to that agreement will be subject to the negative procedure.",GENERAL
Justin Madders,"The new clause allows for regulations to make the necessary provisions to give effect to the conventions in question. For example, it allows for regulations to make provision relating to monitoring compliance, and to criminal offences and detention of ships for contravention of provisions in the regulations. It may not represent any changes in Government policy, but it will allow us to uphold our existing obligations and any future obligations under conventions that the UK may choose to ratify.",GENERAL
Greg Smith,"As I said, the maritime labour convention was adopted on 23 February 2006, and the work in fishing convention on 14 June 2007, so the first question is why the then Labour Government did not see fit to introduce provision in legislation in the first place? Will the Minister explain why it is necessary to legislate to give the Secretary of State sweeping powers to  ""by regulations make such provision as the Secretary of State considers appropriate for the purpose of giving effect""  to those two conventions? Precisely what regulations are needed?",GENERAL
Greg Smith,I do not think it is good enough for us to be in this position.,GENERAL
Greg Smith,"Will the Minister explain which of the rights I just outlined are not already enforceable under United Kingdom law? Is there difficulty with implementing any of the implementation and enforcement responsibilities in article V? Will the Minister further explain whether any of the provisions of the work in fishing convention are currently unenforceable under United Kingdom law-I seek just one example-and if so, what specific changes would be needed to enforce them?",STRIKE
